transaction_id,customer_id,visit_date,total_spending
T006148,1421,2023-01-08,342904
T004216,1046,2023-01-08,438277
T004831,1253,2023-01-08,265526
T004993,1144,2023-01-08,269043
T006562,1251,2023-01-08,193762
T004893,1389,2023-01-08,139779
T007166,1467,2023-01-08,227113
T007148,1444,2023-01-08,83265
T004852,1480,2023-01-08,237223
T006976,1168,2023-01-09,423520
T002467,1038,2023-01-09,239589
T001072,1089,2023-01-09,213223
T006772,1134,2023-01-09,228438
T007545,1057,2023-01-09,491317
T002838,1380,2023-01-09,206280
T006552,1283,2023-01-09,419178
T007834,1302,2023-01-09,331815
T003827,1323,2023-01-09,44507
T003643,1371,2023-01-09,101443
T001826,1029,2023-01-09,130782
T000810,1020,2023-01-10,122071
T006520,1306,2023-01-10,83627
T006094,1209,2023-01-10,52209
T006700,1413,2023-01-10,35701
T004501,1481,2023-01-10,279073
T003154,1259,2023-01-10,470047
T002808,1107,2023-01-10,273437
T003627,1446,2023-01-10,187157
T002158,1178,2023-01-10,477381
T000175,1082,2023-01-11,432230
T001849,1023,2023-01-11,212796
T004851,1433,2023-01-11,455213
T002949,1042,2023-01-11,111070
T006005,1141,2023-01-11,177908
T002876,1440,2023-01-11,411069
T003615,1492,2023-01-11,481866
T002093,1336,2023-01-11,221023
T005657,1241,2023-01-11,214724
T007849,1200,2023-01-12,239804
T000011,1422,2023-01-12,197198
T001636,1042,2023-01-12,50716
T004314,1182,2023-01-12,228929
T004292,1174,2023-01-12,450802
T004534,1325,2023-01-12,37839
T006407,1275,2023-01-12,429495
T003550,1049,2023-01-12,469535
T002231,1116,2023-01-12,276216
T003292,1399,2023-01-12,134441
T004914,1210,2023-01-12,299081
T001058,1019,2023-01-12,393908
T002095,1182,2023-01-12,409995
T001845,1003,2023-01-12,320929
T005658,1415,2023-01-12,202159
T007789,1205,2023-01-13,96133
T000660,1102,2023-01-13,118980
T006666,1426,2023-01-13,40140
T003139,1191,2023-01-13,69393
T007942,1048,2023-01-13,166371
T006318,1459,2023-01-13,267387
T006027,1009,2023-01-13,255222
T002839,1417,2023-01-13,314550
T005169,1249,2023-01-13,392371
T003062,1048,2023-01-13,454311
T005471,1360,2023-01-13,243129
T005300,1096,2023-01-13,409772
T005289,1473,2023-01-13,270278
T005564,1181,2023-01-13,211021
T000132,1479,2023-01-13,68786
T007456,1182,2023-01-13,308969
T001405,1066,2023-01-13,21320
T007218,1078,2023-01-14,28294
T002477,1369,2023-01-14,332444
T000474,1163,2023-01-14,48400
T006674,1398,2023-01-14,324268
T005403,1450,2023-01-14,150522
T007581,1391,2023-01-14,395831
T000885,1301,2023-01-14,407946
T004811,1256,2023-01-14,56894
T005031,1268,2023-01-14,411013
T007117,1197,2023-01-14,300309
T007110,1487,2023-01-14,162412
T002888,1344,2023-01-14,91641
T002905,1125,2023-01-14,312155
T004928,1406,2023-01-15,485767
T001606,1338,2023-01-15,429462
T006060,1415,2023-01-15,69008
T007273,1227,2023-01-15,123691
T005084,1036,2023-01-15,303076
T003786,1405,2023-01-15,338461
T007002,1226,2023-01-15,345764
T007650,1035,2023-01-15,445915
T002952,1109,2023-01-15,495200
T007079,1008,2023-01-15,414375
T006360,1173,2023-01-16,321335
T002123,1248,2023-01-16,48887
T006331,1111,2023-01-16,400423
T006078,1423,2023-01-16,314166
T007999,1371,2023-01-16,133271
T000730,1084,2023-01-16,34507
T001426,1143,2023-01-16,433012
T006389,1440,2023-01-16,161220
T007473,1068,2023-01-16,78639
T005767,1230,2023-01-16,73076
T006284,1110,2023-01-16,490974
T000951,1179,2023-01-16,461174
T006875,1098,2023-01-16,349839
T007596,1147,2023-01-16,192296
T002750,1243,2023-01-16,354697
T001503,1141,2023-01-16,291448
T000151,1047,2023-01-16,492803
T005513,1116,2023-01-16,161035
T000448,1158,2023-01-17,381395
T005864,1025,2023-01-17,101122
T006606,1402,2023-01-17,227074
T004071,1318,2023-01-17,39575
T002960,1021,2023-01-17,419325
T003310,1475,2023-01-17,181558
T003708,1265,2023-01-17,350119
T001483,1425,2023-01-17,367222
T001350,1333,2023-01-17,228156
T005684,1014,2023-01-17,274268
T000570,1357,2023-01-17,189290
T001231,1152,2023-01-18,180104
T003895,1310,2023-01-18,258148
T004516,1418,2023-01-18,409326
T004913,1182,2023-01-18,90648
T007278,1003,2023-01-18,437260
T000071,1406,2023-01-18,295536
T003966,1368,2023-01-18,434380
T004459,1108,2023-01-19,223195
T004795,1366,2023-01-19,129365
T004390,1023,2023-01-19,481154
T000454,1206,2023-01-19,380619
T003843,1313,2023-01-19,96737
T000412,1262,2023-01-19,237291
T004629,1040,2023-01-19,36057
T000338,1062,2023-01-19,190951
T007964,1271,2023-01-19,39674
T005368,1341,2023-01-19,329431
T002672,1363,2023-01-19,256579
T000009,1356,2023-01-19,359112
T003623,1184,2023-01-19,271529
T001392,1288,2023-01-20,69607
T000041,1190,2023-01-20,491731
T005932,1375,2023-01-20,476319
T005382,1233,2023-01-20,432482
T001955,1024,2023-01-20,237804
T002783,1296,2023-01-20,420337
T006276,1043,2023-01-20,402312
T007210,1115,2023-01-20,322476
T005228,1394,2023-01-20,366989
T003585,1390,2023-01-20,485342
T005402,1028,2023-01-20,177642
T002542,1120,2023-01-20,85994
T002658,1190,2023-01-20,169477
T007861,1154,2023-01-21,374100
T001506,1020,2023-01-21,395033
T000777,1211,2023-01-21,434193
T006631,1271,2023-01-21,296016
T006339,1029,2023-01-21,104225
T005535,1363,2023-01-21,240638
T004329,1420,2023-01-21,127721
T004269,1290,2023-01-21,311836
T001604,1213,2023-01-21,314563
T003568,1308,2023-01-21,189695
T007142,1340,2023-01-21,464550
T001023,1147,2023-01-21,369207
T006650,1095,2023-01-21,196371
T001868,1449,2023-01-22,26563
T005597,1378,2023-01-22,419034
T007130,1122,2023-01-22,187116
T002258,1089,2023-01-22,118746
T004784,1163,2023-01-22,224021
T003918,1436,2023-01-22,148476
T003846,1054,2023-01-22,305780
T001755,1269,2023-01-22,448410
T007556,1421,2023-01-23,369235
T002615,1472,2023-01-23,315121
T003125,1399,2023-01-23,251360
T007878,1398,2023-01-23,370404
T002834,1160,2023-01-23,478070
T001910,1070,2023-01-23,22596
T007677,1071,2023-01-23,69738
T007509,1185,2023-01-23,290185
T003715,1129,2023-01-23,486620
T002250,1097,2023-01-23,423522
T002027,1350,2023-01-23,417152
T007265,1178,2023-01-23,487613
T003427,1102,2023-01-23,135637
T007696,1208,2023-01-23,155362
T003392,1488,2023-01-23,268719
T007229,1179,2023-01-24,154277
T001660,1203,2023-01-24,163492
T001540,1149,2023-01-24,355988
T005926,1283,2023-01-24,422740
T002340,1025,2023-01-24,266027
T004745,1129,2023-01-24,226737
T004927,1458,2023-01-24,76625
T003960,1245,2023-01-24,224674
T001308,1070,2023-01-24,327655
T003869,1239,2023-01-24,492398
T000404,1056,2023-01-25,234051
T004311,1444,2023-01-25,114240
T003663,1495,2023-01-25,97015
T006211,1150,2023-01-25,450909
T001544,1494,2023-01-25,129699
T003217,1446,2023-01-25,205770
T003991,1270,2023-01-25,43758
T007350,1462,2023-01-25,248644
T000080,1227,2023-01-25,462667
T004998,1464,2023-01-25,359708
T005569,1237,2023-01-25,68648
T006295,1201,2023-01-25,46515
T001526,1345,2023-01-26,216979
T005747,1280,2023-01-26,35376
T004298,1091,2023-01-26,400312
T001400,1292,2023-01-26,467748
T005211,1131,2023-01-26,76305
T005743,1287,2023-01-26,238906
T004837,1187,2023-01-26,342828
T004068,1376,2023-01-26,384177
T004991,1116,2023-01-26,397371
T005725,1421,2023-01-26,298263
T001203,1047,2023-01-26,291424
T000827,1262,2023-01-26,432924
T007504,1431,2023-01-26,275152
T000177,1478,2023-01-26,322468
T001163,1136,2023-01-26,403898
T002371,1226,2023-01-26,491677
T006813,1094,2023-01-27,377173
T006568,1039,2023-01-27,63237
T001204,1379,2023-01-27,60449
T007284,1270,2023-01-27,139247
T006123,1369,2023-01-27,439617
T000509,1120,2023-01-27,308683
T007840,1318,2023-01-27,57869
T003836,1365,2023-01-27,20982
T006532,1132,2023-01-27,467100
T005127,1313,2023-01-27,398668
T005880,1266,2023-01-27,78552
T007891,1236,2023-01-27,235870
T005038,1403,2023-01-27,417755
T005439,1097,2023-01-27,50996
T007492,1128,2023-01-28,246086
T002958,1383,2023-01-28,468431
T007972,1149,2023-01-28,499742
T005234,1315,2023-01-28,53539
T000987,1008,2023-01-28,447422
T007332,1377,2023-01-28,30101
T007838,1189,2023-01-28,249652
T005490,1162,2023-01-28,294391
T003417,1258,2023-01-28,396430
T002485,1150,2023-01-28,44935
T000261,1376,2023-01-28,89903
T007297,1050,2023-01-28,20189
T007525,1449,2023-01-28,250119
T005128,1439,2023-01-29,398970
T006425,1263,2023-01-29,479319
T000770,1183,2023-01-29,485360
T003704,1141,2023-01-29,301907
T006615,1229,2023-01-29,442823
T001299,1232,2023-01-29,420036
T004149,1020,2023-01-29,197800
T001123,1432,2023-01-29,302868
T007109,1320,2023-01-29,270036
T004275,1318,2023-01-29,477180
T001075,1065,2023-01-29,365529
T001315,1130,2023-01-29,233614
T002121,1466,2023-01-29,239606
T004616,1335,2023-01-29,238223
T005105,1096,2023-01-30,220506
T007031,1361,2023-01-30,150017
T000366,1332,2023-01-30,26641
T006352,1276,2023-01-30,187570
T007851,1487,2023-01-30,288217
T003015,1465,2023-01-30,142603
T007845,1118,2023-01-30,450587
T003488,1225,2023-01-31,305356
T002976,1484,2023-01-31,440787
T006957,1117,2023-01-31,69635
T001378,1468,2023-01-31,203293
T001145,1324,2023-01-31,451030
T002663,1353,2023-01-31,328598
T003612,1011,2023-01-31,117421
T006338,1008,2023-01-31,56079
T001916,1111,2023-01-31,490547
T004722,1207,2023-01-31,199194
T003974,1474,2023-01-31,253573
T000863,1381,2023-01-31,28163
T001063,1489,2023-02-01,156450
T005466,1490,2023-02-01,456346
T006890,1444,2023-02-01,482506
T004854,1416,2023-02-01,165804
T006984,1448,2023-02-01,380513
T003294,1141,2023-02-01,120782
T004313,1353,2023-02-01,438048
T001116,1304,2023-02-01,300621
T007955,1143,2023-02-01,60832
T003949,1081,2023-02-02,320660
T007555,1198,2023-02-02,319117
T003650,1299,2023-02-02,184562
T002784,1258,2023-02-02,165749
T003695,1432,2023-02-02,96945
T005405,1119,2023-02-03,344389
T007048,1004,2023-02-03,369780
T004453,1247,2023-02-03,219632
T004526,1413,2023-02-03,257644
T006948,1296,2023-02-03,69874
T005748,1271,2023-02-03,252647
T001276,1146,2023-02-03,240510
T005946,1292,2023-02-03,109067
T002023,1259,2023-02-03,385356
T004305,1073,2023-02-04,450754
T007085,1009,2023-02-04,391722
T005196,1039,2023-02-04,274743
T006029,1388,2023-02-04,164408
T002096,1479,2023-02-04,288616
T006613,1033,2023-02-04,495378
T006450,1441,2023-02-04,364737
T006096,1459,2023-02-05,338882
T007373,1085,2023-02-05,192805
T007692,1307,2023-02-05,370340
T000995,1005,2023-02-05,124599
T007523,1042,2023-02-05,495191
T004130,1266,2023-02-05,291077
T006633,1180,2023-02-05,317074
T006926,1428,2023-02-06,415324
T007116,1179,2023-02-06,103035
T002434,1303,2023-02-06,394324
T001549,1252,2023-02-06,122281
T003610,1333,2023-02-06,72832
T007967,1454,2023-02-06,410601
T004647,1049,2023-02-06,312002
T000328,1099,2023-02-06,361781
T005468,1282,2023-02-06,82399
T007705,1494,2023-02-07,53329
T007140,1075,2023-02-07,164174
T001395,1460,2023-02-07,229605
T007853,1134,2023-02-07,489313
T004110,1202,2023-02-07,173627
T000520,1436,2023-02-07,148513
T003216,1032,2023-02-07,211026
T003676,1044,2023-02-07,149022
T007622,1461,2023-02-07,81321
T001814,1203,2023-02-07,283672
T007241,1200,2023-02-08,483054
T003532,1441,2023-02-08,372180
T007035,1287,2023-02-08,162003
T000069,1152,2023-02-08,227831
T004973,1292,2023-02-08,347987
T002014,1359,2023-02-08,390702
T007180,1220,2023-02-08,135310
T003705,1173,2023-02-08,461889
T001739,1105,2023-02-08,63888
T004402,1032,2023-02-08,367967
T001028,1304,2023-02-08,117540
T000767,1221,2023-02-08,394817
T007371,1130,2023-02-08,274799
T007365,1128,2023-02-08,98277
T000971,1427,2023-02-08,406230
T005913,1239,2023-02-09,421210
T005586,1423,2023-02-09,484495
T005599,1457,2023-02-09,406757
T007682,1405,2023-02-09,328673
T000168,1371,2023-02-09,159227
T000668,1401,2023-02-09,476082
T004697,1245,2023-02-09,85214
T003937,1271,2023-02-09,302128
T002831,1360,2023-02-10,438882
T004056,1389,2023-02-10,229154
T007303,1027,2023-02-10,405200
T003459,1162,2023-02-10,404132
T003747,1154,2023-02-10,46245
T001733,1451,2023-02-10,132284
T007900,1457,2023-02-10,160285
T000902,1133,2023-02-11,28382
T007107,1103,2023-02-11,232437
T000219,1311,2023-02-11,237885
T006224,1096,2023-02-11,489092
T002360,1060,2023-02-11,481110
T003549,1321,2023-02-11,50215
T000350,1329,2023-02-11,335983
T000116,1044,2023-02-11,234838
T005917,1188,2023-02-11,250092
T002449,1039,2023-02-11,37352
T005715,1050,2023-02-11,490415
T001674,1467,2023-02-11,495702
T004345,1214,2023-02-11,440020
T000445,1160,2023-02-11,231985
T004386,1444,2023-02-11,498704
T007708,1442,2023-02-12,447463
T007957,1387,2023-02-12,137095
T005298,1359,2023-02-12,397163
T005048,1276,2023-02-12,450790
T002744,1424,2023-02-12,403276
T006229,1018,2023-02-12,111641
T002314,1246,2023-02-12,476114
T007680,1158,2023-02-12,296674
T000795,1391,2023-02-12,464819
T002554,1267,2023-02-12,91834
T005276,1279,2023-02-13,308552
T005182,1397,2023-02-13,68017
T004869,1068,2023-02-13,137616
T006100,1047,2023-02-13,127966
T005185,1497,2023-02-13,386296
T003967,1175,2023-02-13,368109
T006640,1135,2023-02-13,20415
T003081,1494,2023-02-13,287800
T000317,1241,2023-02-13,230255
T002036,1403,2023-02-13,236197
T007671,1270,2023-02-13,401694
T003474,1016,2023-02-13,485225
T002041,1499,2023-02-14,263990
T005093,1383,2023-02-14,304922
T000582,1015,2023-02-14,486779
T004778,1063,2023-02-14,499462
T000332,1061,2023-02-14,325866
T007474,1494,2023-02-14,498692
T005431,1360,2023-02-14,433285
T007929,1356,2023-02-14,90540
T006564,1031,2023-02-14,482841
T005760,1490,2023-02-15,473037
T002008,1399,2023-02-15,218579
T006698,1271,2023-02-15,64917
T005208,1222,2023-02-15,150654
T000939,1282,2023-02-15,60751
T005484,1460,2023-02-15,112930
T000780,1352,2023-02-15,134836
T003261,1349,2023-02-15,30273
T005477,1195,2023-02-15,274551
T003147,1260,2023-02-15,28734
T007308,1264,2023-02-15,341367
T006911,1407,2023-02-15,125561
T002195,1144,2023-02-15,231278
T007918,1322,2023-02-15,284340
T001146,1277,2023-02-16,182717
T005955,1349,2023-02-16,87952
T001657,1232,2023-02-16,327633
T006477,1353,2023-02-16,337400
T005117,1112,2023-02-16,453592
T003381,1264,2023-02-16,347111
T006912,1352,2023-02-16,376580
T003768,1256,2023-02-16,376936
T005344,1481,2023-02-16,73326
T001925,1230,2023-02-16,427834
T007055,1388,2023-02-16,151930
T000837,1237,2023-02-16,281188
T002697,1127,2023-02-16,159363
T000504,1394,2023-02-16,447288
T003136,1164,2023-02-16,132808
T002616,1162,2023-02-16,24983
T007372,1132,2023-02-16,405891
T003227,1014,2023-02-17,136583
T006418,1232,2023-02-17,424042
T006093,1095,2023-02-17,118884
T003850,1138,2023-02-17,103866
T002404,1350,2023-02-17,358346
T007920,1078,2023-02-17,231648
T003242,1264,2023-02-18,257307
T000710,1360,2023-02-18,26734
T000975,1294,2023-02-18,422665
T000816,1096,2023-02-18,115719
T007558,1179,2023-02-18,219268
T002079,1414,2023-02-18,418216
T002809,1146,2023-02-18,68503
T006232,1151,2023-02-18,62362
T000368,1009,2023-02-18,131119
T004333,1037,2023-02-18,322009
T001242,1481,2023-02-19,35169
T006809,1464,2023-02-19,238735
T006720,1122,2023-02-19,206845
T006073,1273,2023-02-19,297972
T007580,1023,2023-02-19,312456
T001274,1263,2023-02-20,64858
T006892,1046,2023-02-20,429383
T003419,1337,2023-02-20,380874
T004844,1291,2023-02-20,104600
T000292,1344,2023-02-20,163092
T005708,1360,2023-02-20,480329
T002263,1197,2023-02-20,134000
T006198,1280,2023-02-20,333916
T007793,1476,2023-02-20,236789
T003065,1116,2023-02-20,180262
T004128,1071,2023-02-20,59222
T000058,1011,2023-02-20,138728
T000799,1213,2023-02-20,186664
T002847,1196,2023-02-20,312428
T007329,1079,2023-02-21,283279
T002165,1289,2023-02-21,347844
T000711,1459,2023-02-21,234072
T002956,1341,2023-02-21,35583
T007344,1392,2023-02-21,165096
T005020,1264,2023-02-21,51941
T005043,1071,2023-02-21,418580
T000610,1387,2023-02-21,151605
T001272,1320,2023-02-21,167079
T005363,1273,2023-02-21,406678
T001107,1454,2023-02-21,188922
T001937,1429,2023-02-21,252033
T003407,1053,2023-02-21,377109
T002840,1408,2023-02-21,474788
T007928,1192,2023-02-21,191481
T006692,1480,2023-02-21,71632
T001707,1028,2023-02-22,483609
T007327,1034,2023-02-22,33601
T002971,1483,2023-02-22,119790
T005763,1464,2023-02-22,293496
T003828,1290,2023-02-22,498921
T002689,1039,2023-02-22,378528
T007045,1329,2023-02-22,115341
T001557,1359,2023-02-22,252625
T001854,1367,2023-02-22,471816
T006436,1427,2023-02-22,415198
T006617,1118,2023-02-22,168293
T002568,1201,2023-02-22,214399
T005321,1364,2023-02-23,193873
T002548,1062,2023-02-23,262941
T005427,1186,2023-02-23,243872
T002973,1111,2023-02-23,64258
T002022,1050,2023-02-23,290187
T004468,1235,2023-02-23,173415
T004190,1435,2023-02-24,479410
T007606,1288,2023-02-24,184998
T000425,1045,2023-02-24,218713
T005219,1200,2023-02-24,324382
T000349,1089,2023-02-24,415912
T003479,1461,2023-02-24,441972
T004096,1477,2023-02-24,482122
T006510,1337,2023-02-24,363243
T002789,1235,2023-02-24,412070
T003231,1500,2023-02-25,448813
T003872,1397,2023-02-25,471182
T002374,1076,2023-02-25,271204
T007294,1116,2023-02-25,134433
T002298,1040,2023-02-25,403491
T004886,1110,2023-02-25,284131
T000629,1340,2023-02-25,136360
T006876,1127,2023-02-25,483142
T003709,1438,2023-02-25,158876
T006990,1035,2023-02-25,66972
T002192,1066,2023-02-25,394857
T000991,1264,2023-02-25,437766
T002994,1145,2023-02-25,476435
T001859,1136,2023-02-25,347572
T001467,1281,2023-02-26,269894
T002305,1416,2023-02-26,445962
T000667,1041,2023-02-26,262153
T006194,1156,2023-02-26,376082
T003257,1079,2023-02-26,389648
T005817,1297,2023-02-26,458133
T005717,1355,2023-02-26,137926
T000410,1237,2023-02-26,63319
T000476,1326,2023-02-26,127345
T002238,1058,2023-02-26,309943
T004712,1040,2023-02-26,291898
T006847,1216,2023-02-26,53924
T004978,1364,2023-02-26,413981
T000067,1055,2023-02-26,275560
T000126,1012,2023-02-26,35376
T002819,1188,2023-02-26,178262
T006305,1089,2023-02-26,182013
T000081,1244,2023-02-26,404934
T000861,1318,2023-02-27,78249
T005674,1020,2023-02-27,456931
T002978,1273,2023-02-27,359403
T000905,1171,2023-02-27,367614
T006445,1269,2023-02-27,391312
T000371,1025,2023-02-27,29966
T001728,1409,2023-02-27,94236
T005390,1115,2023-02-27,226318
T001151,1334,2023-02-27,41658
T001388,1406,2023-02-27,348231
T001581,1086,2023-02-28,202997
T003636,1358,2023-02-28,126393
T004565,1312,2023-02-28,458292
T006774,1453,2023-02-28,335386
T007077,1095,2023-02-28,269222
T002753,1423,2023-02-28,103537
T007809,1131,2023-02-28,262521
T004553,1029,2023-02-28,446542
T003395,1065,2023-02-28,178621
T003740,1091,2023-02-28,48525
T000281,1187,2023-02-28,130675
T004457,1485,2023-02-28,160119
T007726,1101,2023-02-28,128380
T001043,1176,2023-02-28,479279
T003975,1271,2023-02-28,114330
T003211,1214,2023-03-01,106675
T005883,1011,2023-03-01,472772
T003159,1480,2023-03-01,231560
T002468,1142,2023-03-01,216354
T005134,1278,2023-03-01,276072
T006335,1413,2023-03-01,141729
T001455,1066,2023-03-01,422677
T005270,1408,2023-03-01,242424
T004025,1095,2023-03-01,20205
T006214,1173,2023-03-01,144143
T006727,1045,2023-03-01,320562
T007816,1417,2023-03-01,183233
T004409,1177,2023-03-02,316206
T005678,1448,2023-03-02,310461
T003288,1428,2023-03-02,464017
T006962,1450,2023-03-02,299548
T004279,1016,2023-03-02,392908
T006556,1146,2023-03-02,167578
T002790,1321,2023-03-02,283437
T003468,1442,2023-03-02,172093
T004224,1330,2023-03-02,218187
T004302,1494,2023-03-03,240851
T001093,1355,2023-03-03,237054
T006571,1474,2023-03-03,290248
T005720,1141,2023-03-03,406720
T001929,1359,2023-03-03,427202
T007411,1449,2023-03-03,53178
T000335,1419,2023-03-03,94974
T001129,1379,2023-03-03,272061
T002474,1030,2023-03-03,183558
T006572,1432,2023-03-03,103230
T005928,1072,2023-03-03,276000
T005844,1233,2023-03-03,448285
T003547,1459,2023-03-03,119770
T000252,1359,2023-03-04,487742
T005079,1049,2023-03-04,283035
T002755,1447,2023-03-04,37044
T003332,1021,2023-03-04,398044
T006958,1092,2023-03-04,277470
T006828,1319,2023-03-04,392324
T007822,1363,2023-03-04,90975
T001695,1277,2023-03-04,56622
T006591,1257,2023-03-05,309541
T003207,1053,2023-03-05,426656
T002771,1028,2023-03-05,398630
T001324,1200,2023-03-05,444725
T000769,1309,2023-03-05,71782
T004053,1126,2023-03-05,65038
T002500,1073,2023-03-06,146440
T005100,1031,2023-03-06,24782
T001836,1088,2023-03-06,249489
T006511,1210,2023-03-06,308032
T002514,1424,2023-03-06,351537
T003274,1325,2023-03-06,372570
T007442,1440,2023-03-06,122592
T003174,1144,2023-03-06,491358
T002319,1395,2023-03-06,440782
T006478,1164,2023-03-06,279549
T005922,1130,2023-03-06,195861
T007379,1487,2023-03-06,204859
T006372,1342,2023-03-06,477760
T000643,1205,2023-03-07,278040
T006217,1206,2023-03-07,300776
T007603,1140,2023-03-07,126435
T002781,1400,2023-03-07,68070
T006482,1286,2023-03-07,266968
T000686,1225,2023-03-07,222929
T000781,1312,2023-03-07,126998
T004391,1153,2023-03-07,464015
T006594,1346,2023-03-07,74471
T001514,1043,2023-03-07,408175
T007068,1111,2023-03-07,81457
T002207,1059,2023-03-07,133272
T001022,1001,2023-03-07,118993
T001633,1436,2023-03-08,453671
T000914,1107,2023-03-08,319995
T003410,1053,2023-03-08,21299
T006116,1331,2023-03-08,116242
T002989,1487,2023-03-08,103481
T003712,1155,2023-03-08,107189
T003510,1004,2023-03-08,447963
T004131,1098,2023-03-08,350351
T003437,1378,2023-03-08,291639
T006243,1462,2023-03-08,311694
T002588,1015,2023-03-09,438493
T007604,1326,2023-03-09,106314
T004361,1121,2023-03-09,63199
T000549,1157,2023-03-09,162063
T005865,1074,2023-03-09,212590
T004949,1112,2023-03-09,415722
T007711,1292,2023-03-09,70357
T005713,1327,2023-03-09,159648
T003415,1102,2023-03-09,468052
T001013,1232,2023-03-09,20903
T000192,1301,2023-03-09,476356
T007046,1479,2023-03-09,278596
T005898,1054,2023-03-09,293370
T006533,1427,2023-03-09,334764
T006075,1144,2023-03-10,121976
T005690,1375,2023-03-10,302886
T004646,1256,2023-03-10,174756
T004974,1438,2023-03-10,473968
T003754,1203,2023-03-10,146618
T001066,1365,2023-03-10,347985
T001616,1191,2023-03-10,114369
T001363,1145,2023-03-10,448596
T000266,1446,2023-03-10,284237
T000370,1040,2023-03-10,297768
T003234,1335,2023-03-10,177904
T007783,1376,2023-03-10,150249
T006113,1296,2023-03-10,130078
T001418,1154,2023-03-10,379191
T001367,1468,2023-03-10,138243
T004566,1321,2023-03-10,219933
T001251,1161,2023-03-11,82497
T003896,1149,2023-03-11,29012
T006177,1060,2023-03-11,269128
T000701,1174,2023-03-11,354467
T003837,1069,2023-03-11,230913
T000066,1098,2023-03-11,337679
T000687,1289,2023-03-11,51566
T005423,1247,2023-03-11,236585
T003193,1027,2023-03-11,497007
T003954,1073,2023-03-11,55788
T006178,1066,2023-03-11,416713
T006657,1369,2023-03-12,489945
T006910,1363,2023-03-12,194380
T005295,1210,2023-03-12,317535
T006907,1064,2023-03-12,473682
T000394,1081,2023-03-12,36772
T006857,1338,2023-03-12,228680
T007926,1134,2023-03-12,384315
T002460,1219,2023-03-12,470330
T004282,1304,2023-03-12,393237
T001158,1027,2023-03-12,26265
T000223,1414,2023-03-12,173325
T002307,1176,2023-03-12,71940
T006239,1452,2023-03-12,230544
T004774,1028,2023-03-13,341089
T007600,1125,2023-03-13,393555
T002920,1196,2023-03-13,323242
T003868,1420,2023-03-13,319904
T003580,1061,2023-03-13,226748
T001219,1121,2023-03-13,467678
T007331,1334,2023-03-13,31913
T001248,1483,2023-03-13,307588
T004687,1400,2023-03-13,452353
T007201,1126,2023-03-13,232718
T007407,1366,2023-03-13,490186
T003352,1236,2023-03-13,398274
T002786,1425,2023-03-14,495125
T000907,1001,2023-03-14,295255
T003145,1462,2023-03-14,330113
T003053,1082,2023-03-14,206795
T007751,1117,2023-03-14,56681
T002706,1456,2023-03-14,21607
T006632,1258,2023-03-14,331599
T000889,1395,2023-03-14,348779
T001036,1192,2023-03-14,498917
T007829,1356,2023-03-14,85781
T001481,1387,2023-03-14,377193
T003495,1132,2023-03-15,353599
T002923,1369,2023-03-15,369005
T001745,1255,2023-03-15,110141
